2026-04-20 16:49:40 | INFO     | motor                | Tick: Día 27 Hora 10:00
2026-04-20 16:49:45 | INFO     | atracciones          | Reparación: Cerebro Transitable por $3,000.00
2026-04-20 16:49:49 | INFO     | atracciones          | Reparación: Biomas Vivientes por $3,000.00
2026-04-20 16:49:50 | INFO     | atracciones          | Reparación: Capsula Sueno Lucido por $8,500.00
2026-04-20 16:49:51 | INFO     | atracciones          | Reparación: La Montana Reaccion por $15,000.00
2026-04-20 16:49:53 | INFO     | atracciones          | Reparación: Planetario Digital por $42.50
2026-04-20 16:49:54 | INFO     | atracciones          | Reparación: ROVs Programables por $6,000.00
2026-04-20 16:49:56 | INFO     | atracciones          | Reparación: Sala del Rayo por $3,000.00
2026-04-20 16:49:57 | INFO     | atracciones          | Reparación: Simulador Sismico por $4,500.00
2026-04-20 16:49:59 | INFO     | atracciones          | Reparación: Simulador de Piloto por $42.50
2026-04-20 16:50:00 | INFO     | atracciones          | Reparación: Submarino Profundo por $8,500.00
2026-04-20 16:50:01 | INFO     | atracciones          | Reparación: Test Lab por $6,000.00
2026-04-20 16:50:02 | INFO     | atracciones          | Reparación: Viaje al Centro por $4,500.00
2026-04-20 16:50:06 | INFO     | motor                | Tick: Día 27 Hora 11:00
2026-04-20 16:50:07 | INFO     | motor                | Tick: Día 27 Hora 12:00
2026-04-20 16:50:07 | INFO     | motor                | Tick: Día 27 Hora 13:00
2026-04-20 16:50:08 | INFO     | motor                | Tick: Día 27 Hora 14:00
2026-04-20 16:50:08 | INFO     | motor                | Tick: Día 27 Hora 15:00
2026-04-20 16:50:08 | INFO     | motor                | Tick: Día 27 Hora 16:00
2026-04-20 16:50:08 | INFO     | motor                | Tick: Día 27 Hora 17:00
2026-04-20 16:50:08 | INFO     | motor                | Tick: Día 27 Hora 18:00
2026-04-20 16:50:08 | INFO     | motor                | Tick: Día 27 Hora 19:00
2026-04-20 16:50:08 | INFO     | motor                | Tick: Día 27 Hora 20:00
2026-04-20 16:50:08 | WARNING  | motor                | Evento Aleatorio: Fallo Leve
2026-04-20 16:50:08 | INFO     | motor                | Tick: Día 27 Hora 21:00
2026-04-20 16:50:09 | INFO     | motor                | Tick: Día 27 Hora 22:00
2026-04-20 16:50:09 | INFO     | motor                | Tick: Día 27 Hora 23:00
2026-04-20 16:50:09 | INFO     | motor                | Tick: Día 28 Hora 00:00
2026-04-20 16:50:09 | INFO     | motor                | Tick: Día 28 Hora 01:00
2026-04-20 16:50:09 | INFO     | motor                | Tick: Día 28 Hora 02:00
2026-04-20 16:50:09 | INFO     | motor                | Tick: Día 28 Hora 03:00
2026-04-20 16:50:09 | INFO     | motor                | Tick: Día 28 Hora 04:00
2026-04-20 16:50:09 | INFO     | motor                | Tick: Día 28 Hora 05:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 06:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 07:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 08:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 09:00
2026-04-20 16:50:10 | WARNING  | motor                | Evento Aleatorio: Inclementas
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 10:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 11:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 12:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 13:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 14:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 15:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 16:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 17:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 18:00
2026-04-20 16:50:10 | INFO     | motor                | Tick: Día 28 Hora 19:00
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 28 Hora 20:00
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 28 Hora 21:00
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 28 Hora 22:00
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 28 Hora 23:00
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 29 Hora 00:00
2026-04-20 16:50:11 | WARNING  | motor                | Evento Aleatorio: Fallo Leve
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 29 Hora 01:00
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 29 Hora 02:00
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 29 Hora 03:00
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 29 Hora 04:00
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 29 Hora 05:00
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 29 Hora 06:00
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 29 Hora 07:00
2026-04-20 16:50:11 | INFO     | motor                | Tick: Día 29 Hora 08:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 09:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 10:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 11:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 12:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 13:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 14:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 15:00
2026-04-20 16:50:12 | WARNING  | motor                | Evento Aleatorio: Fallo Leve
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 16:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 17:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 18:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 19:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 20:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 21:00
2026-04-20 16:50:12 | INFO     | motor                | Tick: Día 29 Hora 22:00
2026-04-20 16:50:13 | INFO     | motor                | Tick: Día 29 Hora 23:00
2026-04-20 16:50:13 | WARNING  | motor                | Avería mecánica: Viaje al Centro
2026-04-20 16:50:15 | WARNING  | motor                | Avería mecánica: Simulador Sismico
2026-04-20 16:50:16 | WARNING  | motor                | Avería mecánica: La Montana Reaccion
2026-04-20 16:50:18 | INFO     | motor                | Tick: Día 30 Hora 00:00
2026-04-20 16:50:18 | INFO     | motor                | Tick: Día 30 Hora 01:00
2026-04-20 16:50:18 | INFO     | motor                | Tick: Día 30 Hora 02:00
2026-04-20 16:50:18 | INFO     | motor                | Tick: Día 30 Hora 03:00
2026-04-20 16:50:18 | WARNING  | motor                | Evento Aleatorio: Viral
2026-04-20 16:50:18 | INFO     | motor                | Tick: Día 30 Hora 04:00
2026-04-20 16:50:19 | INFO     | motor                | Tick: Día 30 Hora 05:00
2026-04-20 16:50:19 | INFO     | motor                | Tick: Día 30 Hora 06:00
2026-04-20 16:50:19 | INFO     | motor                | Tick: Día 30 Hora 07:00
2026-04-20 16:50:19 | WARNING  | motor                | Evento Aleatorio: Avería Grave
2026-04-20 16:50:19 | INFO     | motor                | Tick: Día 30 Hora 08:00
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 09:00
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 10:00
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 11:00
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 12:00
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 13:00
2026-04-20 16:50:20 | WARNING  | motor                | Evento Aleatorio: Inclementas
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 14:00
2026-04-20 16:50:20 | WARNING  | motor                | Evento Aleatorio: Inclementas
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 15:00
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 16:00
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 17:00
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 18:00
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 19:00
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 20:00
2026-04-20 16:50:20 | INFO     | motor                | Tick: Día 30 Hora 21:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 30 Hora 22:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 30 Hora 23:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 31 Hora 00:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 31 Hora 01:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 31 Hora 02:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 31 Hora 03:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 31 Hora 04:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 31 Hora 05:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 31 Hora 06:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 31 Hora 07:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 31 Hora 08:00
2026-04-20 16:50:21 | WARNING  | motor                | Evento Aleatorio: Fallo Leve
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 31 Hora 09:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 31 Hora 10:00
2026-04-20 16:50:21 | INFO     | motor                | Tick: Día 31 Hora 11:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 31 Hora 12:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 31 Hora 13:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 31 Hora 14:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 31 Hora 15:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 31 Hora 16:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 31 Hora 17:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 31 Hora 18:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 31 Hora 19:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 31 Hora 20:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 31 Hora 21:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 31 Hora 22:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 31 Hora 23:00
2026-04-20 16:50:22 | INFO     | motor                | Tick: Día 32 Hora 00:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 01:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 02:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 03:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 04:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 05:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 06:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 07:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 08:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 09:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 10:00
2026-04-20 16:50:23 | WARNING  | motor                | Evento Aleatorio: Fallo Leve
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 11:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 12:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 13:00
2026-04-20 16:50:23 | INFO     | motor                | Tick: Día 32 Hora 14:00
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 32 Hora 15:00
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 32 Hora 16:00
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 32 Hora 17:00
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 32 Hora 18:00
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 32 Hora 19:00
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 32 Hora 20:00
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 32 Hora 21:00
2026-04-20 16:50:24 | WARNING  | motor                | Evento Aleatorio: Inclementas
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 32 Hora 22:00
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 32 Hora 23:00
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 33 Hora 00:00
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 33 Hora 01:00
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 33 Hora 02:00
2026-04-20 16:50:24 | INFO     | motor                | Tick: Día 33 Hora 03:00
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 04:00
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 05:00
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 06:00
2026-04-20 16:50:25 | WARNING  | motor                | Evento Aleatorio: Fallo Leve
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 07:00
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 08:00
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 09:00
2026-04-20 16:50:25 | WARNING  | motor                | Evento Aleatorio: Avería Grave
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 10:00
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 11:00
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 12:00
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 13:00
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 14:00
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 15:00
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 16:00
2026-04-20 16:50:25 | INFO     | motor                | Tick: Día 33 Hora 17:00
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 33 Hora 18:00
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 33 Hora 19:00
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 33 Hora 20:00
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 33 Hora 21:00
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 33 Hora 22:00
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 33 Hora 23:00
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 34 Hora 00:00
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 34 Hora 01:00
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 34 Hora 02:00
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 34 Hora 03:00
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 34 Hora 04:00
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 34 Hora 05:00
2026-04-20 16:50:26 | WARNING  | motor                | Evento Aleatorio: Fallo Leve
2026-04-20 16:50:26 | INFO     | motor                | Tick: Día 34 Hora 06:00
2026-04-20 16:50:27 | INFO     | motor                | Tick: Día 34 Hora 07:00
2026-04-20 16:50:27 | INFO     | motor                | Tick: Día 34 Hora 08:00
2026-04-20 16:50:27 | INFO     | motor                | Tick: Día 34 Hora 09:00
2026-04-20 16:50:27 | INFO     | motor                | Tick: Día 34 Hora 10:00
2026-04-20 16:50:27 | INFO     | motor                | Tick: Día 34 Hora 11:00
2026-04-20 16:53:43 | INFO     | motor                | Tick ejecutado: Día 34 Hora 12
2026-04-20 16:53:43 | INFO     | motor                | Tick ejecutado: Día 34 Hora 13
2026-04-20 16:53:44 | INFO     | motor                | Tick ejecutado: Día 34 Hora 14
2026-04-20 16:53:45 | INFO     | motor                | Tick ejecutado: Día 34 Hora 15
2026-04-20 16:53:45 | WARNING  | motor                | ¡AVEROA! Lanzadera Estelar ha quedado fuera de servicio.
2026-04-20 16:53:47 | INFO     | motor                | Tick ejecutado: Día 34 Hora 16
2026-04-20 16:53:48 | INFO     | motor                | Tick ejecutado: Día 34 Hora 17
2026-04-20 16:53:48 | WARNING  | motor                | ¡AVEROA! Planetario Digital ha quedado fuera de servicio.
2026-04-20 16:53:50 | INFO     | motor                | Tick ejecutado: Día 34 Hora 18
2026-04-20 16:53:50 | WARNING  | motor                | ¡EVENTO! Viral
2026-04-20 16:53:50 | INFO     | motor                | Tick ejecutado: Día 34 Hora 19
2026-04-20 16:53:50 | INFO     | motor                | Tick ejecutado: Día 34 Hora 20
2026-04-20 16:53:51 | INFO     | motor                | Tick ejecutado: Día 34 Hora 21
2026-04-20 16:53:51 | WARNING  | motor                | ¡EVENTO! Fallo Leve
2026-04-20 16:54:35 | INFO     | atracciones          | Reparación manual: Tunel del Big Bang por $8100.00
2026-04-20 16:54:42 | INFO     | motor                | Tick ejecutado: Día 34 Hora 22
2026-04-20 16:54:48 | INFO     | atracciones          | Reparación manual: Lanzadera Estelar por $14324.85
2026-04-20 16:54:50 | INFO     | motor                | Tick ejecutado: Día 34 Hora 23
2026-04-20 16:54:52 | INFO     | atracciones          | Reparación manual: Lanzadera Estelar por $75.00
2026-04-20 16:54:52 | INFO     | motor                | Tick ejecutado: Día 35 Hora 0
2026-04-20 16:54:53 | INFO     | atracciones          | Reparación manual: Lanzadera Estelar por $75.00
2026-04-20 16:54:53 | INFO     | motor                | Tick ejecutado: Día 35 Hora 1
2026-04-20 16:54:56 | INFO     | motor                | Tick ejecutado: Día 35 Hora 2
2026-04-20 16:54:56 | INFO     | motor                | Tick ejecutado: Día 35 Hora 3
2026-04-20 16:54:57 | INFO     | motor                | Tick ejecutado: Día 35 Hora 4
2026-04-20 16:54:57 | INFO     | motor                | Tick ejecutado: Día 35 Hora 5
2026-04-20 16:54:57 | INFO     | motor                | Tick ejecutado: Día 35 Hora 6
2026-04-20 16:54:58 | INFO     | motor                | Tick ejecutado: Día 35 Hora 7
2026-04-20 16:54:58 | INFO     | motor                | Tick ejecutado: Día 35 Hora 8
2026-04-20 16:54:59 | INFO     | motor                | Tick ejecutado: Día 35 Hora 9
2026-04-20 16:54:59 | WARNING  | motor                | ¡AVEROA! Simulador de Piloto ha quedado fuera de servicio.
2026-04-20 16:55:01 | WARNING  | motor                | ¡AVEROA! Capsula Sueno Lucido ha quedado fuera de servicio.
2026-04-20 16:55:04 | INFO     | atracciones          | Reparación manual: Tunel de Viento por $15000.00
